,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
94,SOUTHERN SPRINGS HEALTHCARE FACILITY,UNION SPRINGS,AL,36089,Bullock,For profit - Corporation,123,MAIN AND ASSOCIATES INC,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"745 SOUTHERN SPRINGS ROAD,UNION SPRINGS,AL,36089",01/03/2023
95,COOSA VALLEY HEALTH AND REHAB,GLENCOE,AL,35905,Etowah,For profit - Corporation,124,"C.R. OF COOSA VALLEY, LLC",N,1.0,1.0,2.0,2.0,3.0,3,25257.7,0,3,"513 PINEVIEW AVENUE,GLENCOE,AL,35905",01/03/2023
96,WESLEY PLACE ON HONEYSUCKLE,DOTHAN,AL,36305,Houston,Non profit - Corporation,166,METHODIST HOME FOR THE AGING,N,2.0,2.0,3.0,3.0,3.0,0,0.0,0,0,"718 HONEYSUCKLE ROAD,DOTHAN,AL,36305",01/03/2023
97,"CROSSVILLE HEALTH AND REHABILITATION, LLC",CROSSVILLE,AL,35962,De Kalb,For profit - Corporation,143,CROSSVILLE HEALTH AND REHABILITATION LLC,N,4.0,4.0,3.0,4.0,2.0,0,0.0,0,0,"8922 HIGHWAY 227,CROSSVILLE,AL,35962",01/03/2023
98,WOODHAVEN MANOR NURSING HOME,DEMOPOLIS,AL,36732,Marengo,For profit - Corporation,75,"WOODHAVEN MANOR NURSING HOME, LLC",N,5.0,5.0,3.0,2.0,3.0,0,0.0,0,0,"105 WEST WINDSOR ST,DEMOPOLIS,AL,36732",01/03/2023
99,GREENE COUNTY NURSING HOME,EUTAW,AL,35462,Greene,For profit - Corporation,72,GREENE COUNTY HOSPITAL & NURSING HOME,N,1.0,1.0,,,,12,29571.73,0,12,"509 WILSON AVE,EUTAW,AL,35462",01/03/2023
100,PARKWOOD HEALTH CARE FACILITY,PHENIX CITY,AL,36867,Russell,For profit - Corporation,74,"PARKWOOD HEALTH CARE FACILITY, LLC",N,3.0,3.0,4.0,4.0,4.0,0,0.0,0,0,"3301 STADIUM DRIVE,PHENIX CITY,AL,36867",01/03/2023
101,GADSDEN HEALTH AND REHAB CENTER,GADSDEN,AL,35904,Etowah,For profit - Individual,168,"U S HEALTH CARE, LLC",N,3.0,4.0,2.0,2.0,2.0,1,655.01,0,1,"1945 DAVIS DRIVE,GADSDEN,AL,35904",01/03/2023
102,"GEORGIANA HEALTH AND REHABILITATION, LLC",GEORGIANA,AL,36033,Butler,For profit - Corporation,91,"GEORGIANA HEALTH AND REHABILITATION, LLC",N,3.0,3.0,4.0,4.0,4.0,0,0.0,0,0,"206 PALMER AVENUE,GEORGIANA,AL,36033",01/03/2023
103,NORTH MOBILE NURSING AND REHABILITATION CTR,EIGHT MILE,AL,36613,Mobile,For profit - Individual,172,"EIGHT MILE NURSING AND REHABILITATION CENTER, LLC",N,1.0,1.0,3.0,4.0,3.0,2,53550.25,0,2,"4525 ST STEPHENS ROAD,EIGHT MILE,AL,36613",01/03/2023
104,CLOVERDALE REHABILITATION AND NURSING CENTER,SCOTTSBORO,AL,35768,Jackson,For profit - Corporation,141,"CLOVERDALE HEALTH CARE, INC.",N,4.0,4.0,3.0,2.0,3.0,1,3250.0,0,1,"412 CLOVERDALE ROAD,SCOTTSBORO,AL,35768",01/03/2023
105,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",NORTHPORT,AL,35476,Tuscaloosa,For profit - Corporation,200,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",N,3.0,3.0,3.0,4.0,2.0,0,0.0,0,0,"2201 32ND STREET,NORTHPORT,AL,35476",01/03/2023
106,"MOUNDVILLE HEALTH AND REHABILITATION, LLC",MOUNDVILLE,AL,35474,Hale,For profit - Corporation,68,MOUNDVILLE HEALTH AND REHABILITATION LLC,N,3.0,3.0,2.0,2.0,,0,0.0,0,0,"THIRD AVENUE,MOUNDVILLE,AL,35474",01/03/2023
107,JACKSON HEALTH CARE FACILITY,JACKSON,AL,36545,Clarke,For profit - Corporation,91,"JACKSON HEALTH CARE FACILITY, LLC",N,4.0,3.0,4.0,5.0,3.0,0,0.0,0,0,"2616 NORTH COLLEGE AVENUE,JACKSON,AL,36545",01/03/2023
108,DIVERSICARE OF PELL CITY,PELL CITY,AL,35125,St. Clair,For profit - Corporation,94,DIVERSICARE OF PELL CITY LLC,N,1.0,1.0,4.0,3.0,4.0,1,62663.25,0,1,"510 WOLF CREEK ROAD, NORTH,PELL CITY,AL,35125",01/03/2023
109,BROWN NURSING HOME,ALEXANDER CITY,AL,35010,Tallapoosa,For profit - Corporation,68,"BROWN NURSING HOME, LLC",N,4.0,4.0,2.0,2.0,,0,0.0,0,0,"2334 WASHINGTON STREET,ALEXANDER CITY,AL,35010",01/03/2023
110,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",OPELIKA,AL,36801,Lee,For profit - Partnership,225,"ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD",N,2.0,2.0,4.0,5.0,4.0,1,9750.0,0,1,"1910 PEPPERELL PKWY,OPELIKA,AL,36801",01/03/2023
111,CROWNE HEALTH CARE OF GREENVILLE,GREENVILLE,AL,36037,Butler,For profit - Corporation,118,"CROWNE HEALTH CARE OF GREENVILLE, LLC",N,2.0,2.0,3.0,3.0,2.0,1,655.08,0,1,"408 COUNTRY CLUB DRIVE,GREENVILLE,AL,36037",01/03/2023
112,PIEDMONT HEALTH CARE CENTER,PIEDMONT,AL,36272,Calhoun,Government - City,91,PIEDMONT HEALTH CARE CENTER,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"30 ROUNDTREE DRIVE,PIEDMONT,AL,36272",01/03/2023
113,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,PELL CITY,AL,35125,St. Clair,Non profit - Corporation,168,"VILLAGE AT COOK SPRINGS, LLC",N,1.0,1.0,1.0,1.0,2.0,4,65432.25,0,4,"415 COOK SPRINGS,PELL CITY,AL,35125",01/03/2023
114,DIVERSICARE OF LANETT,LANETT,AL,36863,Chambers,For profit - Corporation,85,DIVERSICARE OF LANETT LLC,N,4.0,3.0,5.0,3.0,5.0,0,0.0,0,0,"702 SOUTH 13TH STREET,LANETT,AL,36863",01/03/2023
115,LAFAYETTE EXTENDED CARE,LAFAYETTE,AL,36862,Chambers,For profit - Corporation,69,"LAFAYETTE EXTENDED CARE,L.L.C",N,5.0,4.0,5.0,5.0,,1,982.8,0,1,"805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,AL,36862",01/03/2023
116,CROWNE HEALTH CARE OF EUFAULA,EUFAULA,AL,36027,Barbour,For profit - Corporation,180,"CROWNE HEALTH CARE OF EUFAULA, LLC",N,3.0,2.0,5.0,4.0,5.0,0,0.0,0,0,"430 RIVERS AVENUE,EUFAULA,AL,36027",01/03/2023
117,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,CENTRE,AL,35960,Cherokee,Government - County,185,THE CHEROKEE COUNTY HEALTH CARE AUTHORITY,N,4.0,4.0,4.0,2.0,5.0,0,0.0,0,0,"877 CEDAR BLUFF ROAD,CENTRE,AL,35960",01/03/2023
118,"GENERATIONS OF RED BAY, LLC",RED BAY,AL,35582,Franklin,For profit - Corporation,90,"GENERATIONS OF RED BAY, LLC",N,1.0,1.0,4.0,4.0,,1,5000.0,0,1,"106 TENTH AVENUE NORTHWEST,RED BAY,AL,35582",01/03/2023
119,MCGUFFEY HEALTH & REHABILITATION CENTER,GADSDEN,AL,35999,Etowah,For profit - Corporation,209,MCGUFFEY HEALTHCARE L.L.C,N,4.0,4.0,3.0,3.0,3.0,1,9750.0,0,1,"2301 RAINBOW DRIVE,GADSDEN,AL,35999",01/03/2023
120,ATTALLA HEALTH AND REHAB,ATTALLA,AL,35954,Etowah,For profit - Corporation,182,"C.R. OF ATTALLA, LLC",N,1.0,1.0,3.0,3.0,3.0,3,86875.7,0,3,"915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954",01/03/2023
121,GOODWATER HEALTHCARE CENTER,GOODWATER,AL,35072,Coosa,For profit - Corporation,72,GOODWATER HEALTHCARE CENTER LLC,N,5.0,5.0,4.0,4.0,,0,0.0,0,0,"16 JONES HILL ROAD,GOODWATER,AL,35072",01/03/2023
122,DECATUR HEALTH & REHAB CENTER,DECATUR,AL,35603,Morgan,For profit - Limited Liability company,119,USA HEALTHCARE MORGAN LLC,N,4.0,4.0,4.0,4.0,4.0,0,0.0,0,0,"2326 MORGAN AVENUE SOUTHWEST,DECATUR,AL,35603",01/03/2023
123,COLLINSVILLE HEALTHCARE & REHAB,COLLINSVILLE,AL,35961,De Kalb,For profit - Corporation,200,"COLLINSVILLE NURSING HOME, INC",N,4.0,3.0,5.0,5.0,5.0,1,5000.0,0,1,"685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961",01/03/2023
124,"OZARK HEALTH AND REHABILITATION, LLC",OZARK,AL,36360,Dale,For profit - Corporation,149,"OZARK HEALTH AND REHABILITATION, LLC",N,3.0,3.0,3.0,4.0,3.0,0,0.0,0,0,"312 BRYAN DRIVE,OZARK,AL,36360",01/03/2023
125,DIVERSICARE OF BESSEMER,BESSEMER,AL,35020,Jefferson,For profit - Corporation,180,DIVERSICARE OF BESSEMER LLC,N,1.0,1.0,3.0,3.0,2.0,1,9080.5,0,1,"820 GOLF COURSE ROAD,BESSEMER,AL,35020",01/03/2023
126,"OPP HEALTH AND REHABILITATION, LLC",OPP,AL,36467,Covington,For profit - Corporation,197,"OPP HEALTH AND REHABILITATION, LLC",N,3.0,3.0,2.0,3.0,1.0,0,0.0,0,0,"115 PAULK AVENUE,OPP,AL,36467",01/03/2023
127,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,MOBILE,AL,36617,Mobile,For profit - Corporation,131,TWIN OAKS NURSING HOME LLC,N,3.0,2.0,5.0,5.0,5.0,0,0.0,0,0,"857 CRAWFORD LANE,MOBILE,AL,36617",01/03/2023
128,SELF SKILLED NURSING & REHAB,HUEYTOWN,AL,35023,Jefferson,For profit - Corporation,131,"SELF SKILLED NURSING, LLC",N,2.0,1.0,5.0,2.0,5.0,2,20935.14,1,3,"131 EAST CREST ROAD,HUEYTOWN,AL,35023",01/03/2023
129,TROY HEALTH & REHABILITATION CENTER,TROY,AL,36079,Pike,For profit - Corporation,220,CARING CORPORATION INC,N,2.0,1.0,2.0,1.0,3.0,1,22522.5,0,1,"515 ELBA HIGHWAY,TROY,AL,36079",01/03/2023
130,MADISON MANOR NURSING HOME,MADISON,AL,35758,Madison,For profit - Corporation,80,MADISON MANOR NURSING HOME LLC,N,3.0,3.0,3.0,3.0,2.0,0,0.0,0,0,"3891 SULLIVAN ST,MADISON,AL,35758",01/03/2023
131,BIBB MEDICAL CENTER NURSING HOME,CENTREVILLE,AL,35042,Bibb,Government - County,131,THE BIBB COUNTY HEALTHCARE AUTHORITY,N,4.0,3.0,4.0,4.0,,0,0.0,0,0,"208 PIERSON AVE,CENTREVILLE,AL,35042",01/03/2023
132,OAKVIEW MANOR HEALTH CARE CENTER,OZARK,AL,36360,Dale,Non profit - Corporation,138,"UNITED STATES HEALTH & HOUSING FOUNDATION, INC",N,2.0,2.0,3.0,2.0,4.0,1,657.8,0,1,"929 MIXON SCHOOL ROAD,OZARK,AL,36360",01/03/2023
133,BIRMINGHAM NURSING AND REHABILITATION CTR LLC,BIRMINGHAM,AL,35214,Jefferson,For profit - Individual,132,"BIRMINGHAM NURSING AND REHABILITATION CENTER, LLC",N,,,,,,1,317505.5,0,1,"1000 DUGAN AVENUE,BIRMINGHAM,AL,35214",01/03/2023
134,CROWNE HEALTH CARE OF THOMASVILLE,THOMASVILLE,AL,36784,Clarke,For profit - Corporation,80,"CROWNE HEALTH CARE OF THOMASVILLE,LLC",N,5.0,5.0,2.0,2.0,2.0,1,650.0,0,1,"1425 MOSLEY DRIVE,THOMASVILLE,AL,36784",01/03/2023
135,"CHAPMAN HEALTHCARE CENTER, INC",ALEXANDER CITY,AL,35010,Tallapoosa,For profit - Corporation,188,"CHAPMAN HEALTHCARE CENTER, INC.",N,3.0,2.0,2.0,2.0,2.0,1,18705.0,0,1,"3701 DADEVILLE ROAD,ALEXANDER CITY,AL,35010",01/03/2023
136,FAIRHOPE HEALTH & REHAB,FAIRHOPE,AL,36532,Baldwin,Non profit - Corporation,131,NOLAND FAIRHOPE LLC,N,2.0,2.0,3.0,3.0,3.0,1,650.0,0,1,"108 SOUTH CHURCH STREET,FAIRHOPE,AL,36532",01/03/2023
137,NORTHSIDE HEALTH CARE,GADSDEN,AL,35901,Etowah,For profit - Corporation,115,DIVERSICARE LEASING LP,N,2.0,2.0,4.0,3.0,4.0,0,0.0,0,0,"700 HUTCHINS AVENUE,GADSDEN,AL,35901",01/03/2023
138,BARFIELD HEALTH CARE,GUNTERSVILLE,AL,35976,Marshall,For profit - Corporation,113,BARFIELD HEALTH CARE ACQUISITION CORPORATION,N,5.0,5.0,2.0,2.0,1.0,0,0.0,0,0,"22444 HIGHWAY 431,GUNTERSVILLE,AL,35976",01/03/2023
139,"GENERATIONS OF VERNON, LLC",VERNON,AL,35592,Lamar,For profit - Corporation,158,"GENERATIONS OF VERNON, LLC",N,2.0,1.0,4.0,3.0,5.0,2,24750.0,0,2,"1050 CONVALESCENT ROAD,VERNON,AL,35592",01/03/2023
140,"MONTGOMERY HEALTH AND REHAB, LLC",MONTGOMERY,AL,36116,Montgomery,For profit - Individual,121,MONTGOMERY HEALTH AND REHAB LLC,N,1.0,1.0,4.0,4.0,4.0,2,8075.0,0,2,"4490 VIRGINIA LOOP ROAD,MONTGOMERY,AL,36116",01/03/2023
141,WEST HILL HEALTH AND REHAB,BIRMINGHAM,AL,35228,Jefferson,For profit - Individual,163,BIRMINGHAM HEALTH AND REHAB LLC,N,1.0,2.0,1.0,1.0,,1,655.14,0,1,"1028 BESSEMER RD,BIRMINGHAM,AL,35228",01/03/2023
142,"RIDGEWOOD HEALTH SERVICES, INC.",JASPER,AL,35504,Walker,For profit - Individual,98,"RIDGEWOOD HEALTH SERVICES, INC.",N,5.0,4.0,5.0,5.0,5.0,2,1636.7,0,2,"201 OAKHILL ROAD,JASPER,AL,35504",01/03/2023
143,ENTERPRISE HEALTH & REHABILITATION CENTER,ENTERPRISE,AL,36331,Coffee,For profit - Corporation,257,"THE HEALTH CARE AUTHORITY OF THE CITY OF ENTERPRISE, INC.",N,2.0,2.0,4.0,3.0,5.0,0,0.0,0,0,"300 PLAZA DRIVE,ENTERPRISE,AL,36331",01/03/2023
144,"SOUTH HAVEN HEALTH AND REHABILITATION, LLC",BIRMINGHAM,AL,35226,Jefferson,For profit - Individual,101,SOUTH HAVEN HEALTH AND REHABILITATION LLC,N,1.0,2.0,4.0,5.0,3.0,0,0.0,0,0,"3141 OLD COLUMBIANA ROAD,BIRMINGHAM,AL,35226",01/03/2023
145,ENGLEWOOD HEALTH CARE CENTER,MONROEVILLE,AL,36460,Monroe,For profit - Corporation,87,"ENGLEWOOD HEALTH CARE CENTER, LLC",N,4.0,4.0,3.0,2.0,4.0,1,650.0,0,1,"2046 SOUTH ALABAMA AVE,MONROEVILLE,AL,36460",01/03/2023
146,"PARK MANOR HEALTH AND REHABILITATION, LLC",NORTHPORT,AL,35476,Tuscaloosa,For profit - Limited Liability company,152,"PARK MANOR HEALTH AND REHABILITATION, LLC",N,1.0,2.0,3.0,3.0,3.0,0,0.0,0,0,"2201 MCFARLAND BOULEVARD,NORTHPORT,AL,35476",01/03/2023
147,MARENGO NURSING HOME,LINDEN,AL,36748,Marengo,Non profit - Other,78,LINDEN HOSPITAL BOARD,N,5.0,4.0,4.0,4.0,,0,0.0,0,0,"608 NORTH MAIN STREET,LINDEN,AL,36748",01/03/2023
148,,PHENIX CITY,AL,36867,Russell,For profit - Corporation,86,ARABELLA HEALTH AND WELLNESS OF PHENIX CITY LLC,Y,3.0,3.0,5.0,4.0,5.0,2,4194.45,0,2,"3900 LAKEWOOD DRIVE,PHENIX CITY,AL,36867",01/03/2023
149,"LUVERNE HEALTH AND REHABILITATION, LLC",LUVERNE,AL,36049,Crenshaw,For profit - Corporation,151,"LUVERNE HEALTH AND REHABILITATION, LLC",N,4.0,4.0,3.0,4.0,2.0,0,0.0,0,0,"142 WEST THIRD STREET,LUVERNE,AL,36049",01/03/2023
150,LAUDERDALE CHRISTIAN NURSING HOME,KILLEN,AL,35645,Lauderdale,Non profit - Corporation,58,LAUDERDALE CHRISTIAN NURSING HOME,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"2019 COUNTY ROAD 394,KILLEN,AL,35645",01/03/2023
151,OAKS ON PARKWOOD SKILLED NURSING FACILITY,BESSEMER,AL,35022,Jefferson,Non profit - Corporation,130,"OAKS ON PARKWOOD, LLC",N,1.0,1.0,2.0,1.0,3.0,1,3250.0,0,1,"2625 LAUREL OAK DRIVE,BESSEMER,AL,35022",01/03/2023
152,HERITAGE HEALTH CARE & REHAB INC,TUSCALOOSA,AL,35406,Tuscaloosa,For profit - Corporation,216,"HERITAGE HEALTH CARE & REHAB, INC.",N,4.0,3.0,5.0,4.0,5.0,2,9750.0,0,2,"1101 SNOWS MILL AVENUE,TUSCALOOSA,AL,35406",01/03/2023
153,REGENCY HEALTH CARE AND REHABILITATION CENTER,HUNTSVILLE,AL,35810,Madison,For profit - Corporation,90,HUNTSVILLE SENIOR SERVICES LLC,N,3.0,3.0,4.0,5.0,4.0,2,1625.0,0,2,"2061 POOLE DRIVE, NW,HUNTSVILLE,AL,35810",01/03/2023
154,HENRY COUNTY HEALTH AND REHABILITATION FACILITY,ABBEVILLE,AL,36310,Henry,Government - County,142,HENRY COUNTY NURSING HOME,N,4.0,3.0,3.0,5.0,2.0,0,0.0,0,0,"212 DOTHAN ROAD,ABBEVILLE,AL,36310",01/03/2023
155,CAMDEN NURSING FACILITY INC.,CAMDEN,AL,36726,Wilcox,For profit - Corporation,95,CAMDEN NURSING FACILITY INC,N,5.0,5.0,3.0,3.0,,1,650.0,0,1,"210 PONDEROSA DRIVE,CAMDEN,AL,36726",01/03/2023
156,ANNISTON HEALTH AND REHAB SERVICES,ANNISTON,AL,36207,Calhoun,Non profit - Other,85,"ANNISTON HEALTH AND REHAB SERVICES, LLC",N,3.0,3.0,4.0,3.0,4.0,1,650.0,0,1,"600 E 8TH STREET,ANNISTON,AL,36207",01/03/2023
157,DIVERSICARE OF WINFIELD,WINFIELD,AL,35594,Marion,For profit - Corporation,123,DIVERSICARE OF WINFIELD LLC,N,5.0,5.0,4.0,5.0,2.0,0,0.0,0,0,"144 COUNTY HWY 14,WINFIELD,AL,35594",01/03/2023
158,MARSHALL MANOR NURSING HOME,GUNTERSVILLE,AL,35976,Marshall,For profit - Corporation,91,PREFERRED HEALTH HOLDINGS LLC,N,5.0,5.0,3.0,1.0,5.0,0,0.0,0,0,"3120 NORTH STREET,GUNTERSVILLE,AL,35976",01/03/2023
159,MOBILE NURSING AND REHABILITATION CENTER,MOBILE,AL,36695,Mobile,For profit - Partnership,120,"MOBILE NURSING AND REHABILITATION CENTER, LLC",N,4.0,4.0,2.0,2.0,3.0,0,0.0,0,0,"7020 BRUNS DRIVE,MOBILE,AL,36695",01/03/2023
160,WILLOWBROOKE CT SKILLED CARE CTR WESTMINSTER VLG,SPANISH FORT,AL,36527,Baldwin,Non profit - Corporation,60,PRESBYTERIAN RETIREMENT CORPORATION INC,N,3.0,2.0,2.0,3.0,2.0,1,650.0,0,1,"500 SPANISH FORT BLVD,SPANISH FORT,AL,36527",01/03/2023
161,CANTERBURY HEALTH CARE FACILITY,PHENIX CITY,AL,36869,Russell,For profit - Corporation,137,DIVERSICARE LEASING LP,N,2.0,1.0,5.0,5.0,5.0,1,7345.0,0,1,"1720 KNOWLES ROAD,PHENIX CITY,AL,36869",01/03/2023
162,WOODLAND VILLAGE REHABILITATION AND HEALTHCARE CEN,CULLMAN,AL,35055,Cullman,For profit - Corporation,149,USA HEALTHCARE WOODLAND VILLAGE LLC,N,3.0,4.0,3.0,1.0,4.0,1,9447.75,0,1,"1900 OLIVE STREET,CULLMAN,AL,35055",01/03/2023
163,ADAMS NURSING HOME,ALEXANDER CITY,AL,35010,Tallapoosa,For profit - Limited Liability company,88,USA HEALTHCARE ADAMS LLC,N,4.0,5.0,2.0,2.0,,0,0.0,0,0,"1555 HILLABEE STREET,ALEXANDER CITY,AL,35010",01/03/2023
164,EAST GLEN,BIRMINGHAM,AL,35235,Jefferson,Non profit - Corporation,108,"EAST GLEN, LLC",N,1.0,2.0,1.0,1.0,1.0,0,0.0,0,0,"53 MEDICAL PARK DRIVE EAST,BIRMINGHAM,AL,35235",01/03/2023
165,CAPITOL HILL HEALTHCARE CENTER,MONTGOMERY,AL,36104,Montgomery,For profit - Corporation,284,"CAPITOL HILL HEALTHCARE CENTER, INC",N,5.0,5.0,4.0,4.0,3.0,0,0.0,0,0,"520 SOUTH HULL STREET,MONTGOMERY,AL,36104",01/03/2023
166,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",JACKSONVILLE,AL,36265,Calhoun,For profit - Corporation,167,"JACKSONVILLE HEALTH AND REHABILITATION, LLC",N,3.0,2.0,5.0,4.0,5.0,0,0.0,0,0,"410 WILSON DRIVE SOUTHWEST,JACKSONVILLE,AL,36265",01/03/2023
167,CYPRESS COVE CARE CENTER,MUSCLE SHOALS,AL,35661,Colbert,For profit - Corporation,90,SUNBRIDGE HEALTHCARE LLC,N,4.0,4.0,3.0,1.0,5.0,0,0.0,0,0,"200 ALABAMA AVENUE,MUSCLE SHOALS,AL,35661",01/03/2023
168,CROWNE HEALTH CARE OF MONTGOMERY,MONTGOMERY,AL,36107,Montgomery,For profit - Corporation,185,"CROWNE HEALTH CARE OF MONTGOMERY, LLC",N,1.0,2.0,1.0,2.0,1.0,1,14508.0,0,1,"1837 UPPER WETUMPKA ROAD,MONTGOMERY,AL,36107",01/03/2023
169,COLONIAL HAVEN CARE & REHABILITATION CENTER,GREENSBORO,AL,36744,Hale,For profit - Corporation,97,Legal Business Name Not Available,N,5.0,4.0,5.0,5.0,4.0,5,12277.8,0,5,"616 ARMORY STREET,GREENSBORO,AL,36744",01/03/2023
170,WINDSOR HOUSE,HUNTSVILLE,AL,35805,Madison,For profit - Corporation,117,"DIVERSICARE WINDSOR HOUSE, LLC",N,1.0,1.0,4.0,3.0,5.0,1,29393.0,0,1,"4411 MCALLISTER DRIVE,HUNTSVILLE,AL,35805",01/03/2023
171,MONROE MANOR HEALTH & REHABILITATION CENTER,MONROEVILLE,AL,36460,Monroe,For profit - Corporation,84,MONROE MANOR NURSING HOME LLC,N,4.0,4.0,3.0,2.0,4.0,0,0.0,0,0,"236 WEST CLAIBORNE STREET,MONROEVILLE,AL,36460",01/03/2023
172,MEADOWVIEW NURSING CENTER,PELL CITY,AL,35128,St. Clair,For profit - Corporation,59,"ST. CLAIR HEALTH & REHAB, INC.",N,4.0,3.0,5.0,4.0,5.0,0,0.0,0,0,"7300 OLD HIGHWAY 78 EAST,PELL CITY,AL,35128",01/03/2023
173,EL REPOSO NURSING FACILITY,FLORENCE,AL,35634,Lauderdale,Non profit - Church related,60,EL REPOSO NURSING FACILITY,N,5.0,5.0,4.0,4.0,,0,0.0,0,0,"260 MILNER CHAPEL ROAD,FLORENCE,AL,35634",01/03/2023
174,"PALM GARDENS HEALTH AND REHABILITATION, LLC",MOBILE,AL,36607,Mobile,For profit - Corporation,100,PALM GARDENS HEALTH AND REHABILITATION LLC,N,3.0,4.0,2.0,2.0,2.0,0,0.0,0,0,"3104 DAUPHIN SQUARE CONNECTOR,MOBILE,AL,36607",01/03/2023
175,BARON HOUSE OF HUEYTOWN,HUEYTOWN,AL,35023,Jefferson,For profit - Corporation,50,DIVERSICARE OF HUEYTOWN LLC,N,2.0,2.0,4.0,4.0,,0,0.0,0,0,"190 BROOKLANE DRIVE,HUEYTOWN,AL,35023",01/03/2023
176,"GRAND BAY CONVALESCENT HOME, INC.",GRAND BAY,AL,36541,Mobile,For profit - Individual,92,GRAND BAY CONVALESCENT HOME INC,N,1.0,2.0,3.0,4.0,1.0,4,9240.62,0,4,"13750 HIGHWAY 90 WEST,GRAND BAY,AL,36541",01/03/2023
177,HEALTH CARE INC,ASHVILLE,AL,35953,St. Clair,For profit - Individual,53,"HEALTH CARE, INC.",N,1.0,1.0,2.0,2.0,,6,129829.42,0,6,"38286 US HIGHWAY 231,ASHVILLE,AL,35953",01/03/2023
178,"WALKER REHABILITATION CENTER, INC",CARBON HILL,AL,35549,Walker,For profit - Corporation,59,"WALKER REHABILITATION CENTER, INC",N,1.0,2.0,1.0,1.0,2.0,3,6880.25,0,3,"350 NORTHEAST 4TH STREET,CARBON HILL,AL,35549",01/03/2023
179,EAST ALABAMA MEDICAL CENTER SKILLED NURSING FACILI,OPELIKA,AL,36802,Lee,Non profit - Other,26,THE EAST ALABAMA HEALTH CARE AUTHORITY,N,5.0,4.0,5.0,,5.0,0,0.0,0,0,"2000 PEPPERELL PARKWAY,OPELIKA,AL,36802",01/03/2023
180,SHELBY RIDGE NURSING HOME,ALABASTER,AL,35007,Shelby,For profit - Corporation,131,SHELBY RIDGE ACQUISITION CORPORATION,N,3.0,3.0,3.0,2.0,4.0,1,655.08,0,1,"881 3RD STREET NORTHEAST,ALABASTER,AL,35007",01/03/2023
181,LIGHTHOUSE REHABILITATION & HEALTHCARE CENTER,SELMA,AL,36703,Dallas,For profit - Corporation,68,BALL HEALTHCARE DALLAS LLC,N,1.0,1.0,1.0,1.0,1.0,1,657.8,0,1,"2911 EARL GOODWIN PARKWAY,SELMA,AL,36703",01/03/2023
182,LAFAYETTE NURSING HOME,LAFAYETTE,AL,36862,Chambers,For profit - Individual,63,LAFAYETTE NURSING HOME LLC,N,2.0,1.0,5.0,5.0,,1,650.0,0,1,"555 B STREET SW,LAFAYETTE,AL,36862",01/03/2023
183,ANDALUSIA MANOR,ANDALUSIA,AL,36420,Covington,For profit - Corporation,154,ANDALUSIA MANOR LLC,N,3.0,2.0,3.0,3.0,2.0,0,0.0,0,0,"670 MOORE RD,ANDALUSIA,AL,36420",01/03/2023
184,OAKWOOD-NORTH BALDWIN'S CENTER FOR LIVING,BAY MINETTE,AL,36507,Baldwin,Non profit - Corporation,75,GULF HEALTH HOSPITALS INC,N,2.0,2.0,1.0,1.0,3.0,0,0.0,0,0,"2010 MEDICAL CENTER DRIVE,BAY MINETTE,AL,36507",01/03/2023
185,HARTFORD HEALTH CARE,HARTFORD,AL,36344,Geneva,For profit - Corporation,86,"DIVERSICARE HARTFORD, LLC",N,5.0,5.0,5.0,5.0,5.0,1,650.0,0,1,"217 TORO ROAD,HARTFORD,AL,36344",01/03/2023
186,CUMBERLAND HEALTH AND REHAB,BRIDGEPORT,AL,35740,Jackson,Non profit - Corporation,100,HH HEALTH SYSTEM-JACKSON LLC,N,3.0,2.0,2.0,1.0,2.0,4,4577.21,0,4,"47065 AL HIGHWAY 277,BRIDGEPORT,AL,35740",01/03/2023
187,TLC NURSING CENTER,ONEONTA,AL,35121,Blount,For profit - Corporation,103,"DHS OF BLOUNT COUNTY, LLC",N,4.0,3.0,5.0,5.0,5.0,0,0.0,0,0,"212 ELLEN STREET,ONEONTA,AL,35121",01/03/2023
