Location Name,Care homes beds,Location Postal Code,Care Services
Parkfield Grange,80,DY8 1QH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Petersfield Care Home,5,B20 3RP,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Young Adults
Brushwood,60,L24 2SG,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Millvina House,60,L5 1UW,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Wordsley House,8,TS25 5RE,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
No 19 Respite House,3,PL4 7PT,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Choice Care Home,32,TQ1 3QT,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Blossoms Care Home Limited,22,DA9 9ND,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Older People; Physical Disability; Young Adults
Broadhurst Residential Care Home,25,PO36 9BD,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
The Coach House,10,AL10 8AE,Nursing Or Personal Care; Residential Home; Mental Health; Older People; Young Adults
Sussex Grange Residential Care Home,20,PO20 9DH,Nursing Or Personal Care; Residential Home; Dementia; Older People; Sensory Impairment
Florence House Residential Home,20,PE26 1JR,Nursing Or Personal Care; Residential Home; Older People
Verulam House Nursing Home,50,AL3 4DH,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Young Adults
Whitehall Lodge Care Home,3,B70 0HG,Nursing Or Personal Care; Residential Home; Mental Health; Young Adults
Polesworth Group 32 Station Road,8,B78 1BQ,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Polesworth Group Pooley View,4,B78 1BN,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Polesworth Group Friary Road,6,CV9 3AG,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Polesworth Group Pooley Heights,6,B78 1JA,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Highfield,8,B78 1RS,Nursing Or Personal Care; Personal Care; Residential Home; LD & Autism; Young Adults
Polesworth Group Laurel End,9,B78 1LT,Nursing Or Personal Care; Residential Home; LD & Autism; Young Adults
Beechwood House Care Home,28,BA20 2JA,Nursing Or Personal Care; Residential Home; Older People
Bridge House,16,BS36 2BN,Nursing Or Personal Care; Residential Home; Older People
Stafford House Residential Care Home,12,FY5 1DB,Nursing Or Personal Care; Residential Home; Older People
West Lodge Care Home,60,DL15 9SY,Nursing Or Personal Care; Residential Home; Older People; Physical Disability
Springfield Residential Home,29,PE15 9NY,Nursing Or Personal Care; Residential Home; Dementia; Older People
Copper Beeches Lodge,13,PL25 5JJ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Crandon Springs Care Home,64,BA5 1WE,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Richmond Village Willaston,71,CW5 6GX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Pinhay House Residential Care Home,25,DT7 3RQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Fairlight Nursing Home,62,BN16 3LX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Abbeyfield Lear House,33,CH48 5DT,Nursing Or Personal Care; Residential Home; Older People
Matthew Residential Care Limited - 59 Woodgrange Avenue,3,HA3 0XG,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Colbury House,58,SO40 2RX,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Young Adults
Beachcomber Care Home,48,SR7 7AA,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Young Adults
Matthew Residential Care Limited - 1 Milton Avenue,5,NW9 0EU,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Camelot Nursing and Residential Care Home,36,BN11 4BY,Nursing Or Personal Care; Nursing Home; Older People
Tower House,12,RG9 3JN,Nursing Or Personal Care; Residential Home; Older People
Aspray House,70,E10 7EB,Nursing Or Personal Care; Nursing Home; Dementia
Foxley Lodge Residential Care Home,22,CR8 2HB,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Abbey Chase Nursing Home,62,KT16 8JW,Nursing Or Personal Care; Nursing Home; Older People; Sensory Impairment; Young Adults
Norwyn House,5,EX13 5ST,Nursing Or Personal Care; Residential Home; LD & Autism
Harbour Rise Rest Home,44,TQ4 6DN,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Clair Francis Retirement Home,28,PE1 2UT,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Gedling Village Care Home,60,NG4 4HA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
1 Stratton Road,3,SN9 5DY,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Abbeyfield Residential Care Home - The Grove,32,NE3 1NH,Nursing Or Personal Care; Residential Home; Older People
Abbeyfield Residential Care Home - Castle Farm,24,NE3 1RF,Nursing Or Personal Care; Residential Home; Older People
St Ann's Lodge 2,6,KT3 5LL,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
H M T Care - 48 Albany Drive,7,CT6 8PX,Nursing Or Personal Care; Residential Home; Physical Disability; Young Adults
Orchard House,15,CT6 5UD,Nursing Or Personal Care; Residential Home; Physical Disability; Young Adults
The Grange,29,TN24 9EX,Nursing Or Personal Care; Residential Home; Older People
Windsor Court Residential Home,32,TS18 4DZ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
Beechwood House,23,CR2 0AA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Bradbury House,42,HP9 2JW,Nursing Or Personal Care; Residential Home; Older People; Sensory Impairment
Newton Care Homes Limited,4,HA1 4SZ,Nursing Or Personal Care; Personal Care; Residential Home; Supported Living; LD & Autism
Greenfield Care Home,9,CR4 4BF,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Young Adults
Carnalea Residential Home,55,ME13 8TA,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Banbury Heights Nursing Home,59,OX16 5HT,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment
Crossways Healthcare Limited,25,RH16 2AA,Nursing Or Personal Care; Residential Home; Older People
Staveley House,40,LA15 8QQ,Nursing Or Personal Care; Residential Home; Older People
The Red House,26,KT21 2NN,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Young Adults
Rutland House Care Home,20,SM1 3DQ,Nursing Or Personal Care; Residential Home; Dementia; Older People
Winash Rest Home,32,BS21 7RP,Nursing Or Personal Care; Residential Home; Older People
Derriford House,34,GU51 3AW,Nursing Or Personal Care; Residential Home; Older People
Beach Crest Residential Home,11,BH25 7DX,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People
Fosse Bank House,8,BB2 3UB,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Eagle House Residential Care Home,40,LN6 9DL,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Young Adults
Hawkinge House Proactive Assessment Unit,62,CT18 7SS,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment; Young Adults
Greta Cottage,29,TS12 1LS,Nursing Or Personal Care; Residential Home; Dementia; Older People
Rosewood Lodge & Brook House,20,TA6 3LH,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Young Adults
Alde House,17,HP10 8NX,Nursing Or Personal Care; Residential Home; Older People
St Heliers Hotel,30,CT20 2EF,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Snowdrop Place Care Home,68,SO30 2ZS,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Lorne House,9,DY10 1SY,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Young Adults
Park House,21,TQ1 3JX,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability
The Paddocks,6,IP21 5TR,Nursing Or Personal Care; Residential Home; LD & Autism
Acorn Lodge Care Centre,98,E5 0QP,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability
Threeways,6,RH1 5BS,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Physical Disability; Young Adults
Burn Brae Lodge,31,NE45 5RU,Nursing Or Personal Care; Residential Home; Dementia; Older People
Threen House Nursing Home,26,W5 5BH,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability
Osborne House,74,YO8 4AU,Nursing Or Personal Care; Nursing Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Young Adults
Holywell Nursing Home,30,TA9 4BB,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability
Heathfield (Horsham) Limited,36,RH12 2DX,Nursing Or Personal Care; Residential Home; Older People; Physical Disability; Sensory Impairment
Devonshire Dementia Care Home,34,KT3 6AG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Chandos Lodge Nursing Home,31,SL2 3ED,Nursing Or Personal Care; Nursing Home; Older People
Pinehurst Rest Home,19,RH5 6BY,Nursing Or Personal Care; Residential Home; Dementia; Older People
Welcome Home,5,ME12 4NH,Nursing Or Personal Care; Personal Care; Residential Home; Dementia; LD & Autism; Older People; Eating Disorder; Physical Disability; Sensory Impairment; Young Adults
Watery Lane Cottage,3,BA2 1RN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Roper House,27,CT2 8BZ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Harding House,10,SW18 2QX,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Pendean Court,8,PL14 6DZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Huguenot Place,8,SW18 2EN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Barron Winnicott Home,6,BA2 1RN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Knells Country House,24,CA6 4JG,Nursing Or Personal Care; Residential Home; Dementia; Older People
Alandale Residential Home,35,CT16 3JB,Nursing Or Personal Care; Residential Home; Older People
Hillyfield Rest Home Limited,17,SO41 0RP,Nursing Or Personal Care; Residential Home; Older People
Glendale Lodge,32,CT14 8BS,Nursing Or Personal Care; Residential Home; Older People
The Willows,25,IP29 4PJ,Nursing Or Personal Care; Residential Home; Older People; Young Adults
Coombe House Residential Home,16,PL14 4JU,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People
Newbridge Hill,6,BA1 3PR,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Ransdale House,6,TS4 3NU,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
29 & 30 Dominion Road,4,BA2 1DW,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Sensory Impairment; Young Adults
Gibralter Crescent,6,KT19 9BT,Nursing Or Personal Care; Residential Home; LD & Autism; Physical Disability; Sensory Impairment; Young Adults
Redwell Hills Care Home,50,DH8 7SN,Nursing Or Personal Care; Residential Home; Dementia; Older People; Physical Disability; Young Adults
Rushymead Residential Care Home,28,HP7 0LA,Nursing Or Personal Care; Residential Home; Dementia; Older People
Beach House,9,CT7 9JS,Nursing Or Personal Care; Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Young Adults
Orton Manor Nursing Home,40,B46 1TH,Nursing Or Personal Care; Nursing Home; Dementia; Older People; Physical Disability; Sensory Impairment
Millbrook House,60,PR8 5EU,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Wilbury Gardens,8,BN3 6HQ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Dane End House,5,CT8 8PH,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Pippin House,8,TQ12 1BZ,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
60 Olive Lane,8,B62 8LZ,Nursing Or Personal Care; Residential Home; Dementia; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Brondesbury Road,8,NW6 6RY,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Gallaudet Home,8,BA2 1RN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
ResCare,3,NN5 7EF,Nursing Or Personal Care; Residential Home; LD & Autism; Older People; Sensory Impairment; Young Adults
Elton Park Care Home,35,IP2 0DG,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Cheriton Care Home,27,HP6 6EY,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment
Ashley Phoenix Home,9,BA2 1RN,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Mulberry House,6,WS4 2BY,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Westcliffe Villa,14,CT8 8QW,Nursing Or Personal Care; Residential Home; LD & Autism; Mental Health; Physical Disability; Sensory Impairment; Young Adults
Berkeley Court,78,LS8 3QJ,Nursing Or Personal Care; Residential Home; Dementia; Older People; Young Adults
Westcliffe Manor,30,PR8 2BL,Nursing Or Personal Care; Nursing Home; Older People; Physical Disability; Sensory Impairment; Young Adults
Parklands,18,EX5 4RD,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability
Manchester House Nursing Home,67,PR9 9LN,Nursing Or Personal Care; Nursing Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Dovehaven House,40,PR8 4JQ,Nursing Or Personal Care; Residential Home; Dementia; Mental Health; Older People; Physical Disability; Sensory Impairment; Young Adults
Beech Hall,64,LS12 3UE,Nursing Or Personal Care; Residential Home; Dementia; Older People
